id,key,value,type
356319595,source,Yahoo hires,regular
356319596,highway,residential,regular
356319596,name,Rua das Domésticas,regular
356319596,source,Yahoo hires,regular
356319597,highway,unclassified,regular
356319597,name,Rua dos Jambeiros,regular
356319597,surface,unpaved,regular
356319598,highway,residential,regular
356319598,surface,unpaved,regular
356319599,highway,residential,regular
356319599,oneway,no,regular
356319600,highway,residential,regular
356319600,surface,unpaved,regular
356319601,highway,service,regular
356319601,service,alley,regular
356319602,highway,residential,regular
356319602,oneway,yes,regular
356319603,highway,service,regular
356319603,service,alley,regular
356319604,highway,residential,regular
356319605,highway,residential,regular
356319605,surface,unpaved,regular
356319606,highway,residential,regular
356319606,oneway,yes,regular
356319607,highway,residential,regular
356319608,highway,residential,regular
356319608,surface,unpaved,regular
356319609,highway,residential,regular
356319609,surface,unpaved,regular
356319610,highway,residential,regular
356319610,surface,unpaved,regular
356319611,highway,unclassified,regular
356319611,surface,unpaved,regular
356319612,highway,residential,regular
356319612,source,Yahoo hires,regular
356319613,highway,residential,regular
356319613,surface,unpaved,regular
356319614,highway,residential,regular
356319614,source,Yahoo hires,regular
356647283,area,yes,regular
356647283,barrier,wall,regular
356647903,city,João Pessoa,addr
356647903,street,Rua Rádio-Amador Hercílio Rodrigues,addr
356647903,suburb,Tambaú,addr
356647903,building,house,regular
356647926,city,João Pessoa,addr
356647926,housenumber,47,addr
356647926,street,Rua Rádio-Amador Hercílio Rodrigues,addr
356647926,suburb,Tambaú,addr
356647926,building,house,regular
356647926,name,47,regular
356651043,city,João Pessoa,addr
356651043,housenumber,600,addr
356651043,street,Rua Professora Maria Sales,addr
356651043,suburb,Tambaú,addr
356651043,building,residential,regular
356651043,name,Edifício José Alves Xavier,regular
356651044,city,João Pessoa,addr
356651044,housenumber,345,addr
356651044,street,Rua Helena Meira Lima,addr
356651044,suburb,Tambaú,addr
356651044,building,residential,regular
356651044,name,Edifício Solar Tambaú,regular
356651045,building,house,regular
356651046,city,João Pessoa,addr
356651046,housenumber,374,addr
356651046,street,Rua Helena Meira Lima,addr
356651046,suburb,Tambaú,addr
356651046,building,yes,regular
356651046,name,Dimensional Construções,regular
356651046,office,yes,regular
356651126,landuse,construction,regular
356881205,highway,service,regular
356881205,name,Beco 2,regular
356881205,service,alley,regular
356881206,highway,service,regular
356881206,name,Beco 3,regular
356881206,service,alley,regular
356881207,highway,service,regular
356881207,name,Beco 4,regular
356881207,service,alley,regular
356881208,highway,service,regular
356881208,name,Beco 6,regular
356881208,service,alley,regular
356881209,highway,service,regular
356881209,name,Beco 7,regular
356881209,service,alley,regular
356881210,highway,service,regular
356881210,name,Beco 8,regular
356881210,service,alley,regular
356881211,highway,service,regular
356881211,name,Beco 9,regular
356881211,service,alley,regular
356881212,highway,residential,regular
356881212,name,Rua Ana Espínola Navarro,regular
356881212,source,Yahoo hires,regular
356881213,highway,residential,regular
356881213,name,Rua Brasília,regular
356881213,source,Yahoo hires,regular
356881214,highway,residential,regular
356881214,name,Rua Coronel Ednaldo Tavares Rufino,regular
356881214,source,Yahoo hires,regular
356881215,highway,residential,regular
356881215,name,Rua Funcionário Público Carlos Ribeiro Filho,regular
356881216,highway,residential,regular
356881216,name,Rua José Ferreira da Silva,regular
356881217,highway,unclassified,regular
356881217,name,Rua Luiz Carlos Crispim Pimentel,regular
356881217,oneway,no,regular
356881217,surface,asphalt,regular
356881218,highway,residential,regular
356881218,name,Rua Manoel Francisco Feliciano,regular
356881219,highway,residential,regular
356881219,name,Rua Platiny Barbosa dos Santos,regular
356881219,source,Yahoo hires,regular
356881220,highway,residential,regular
356881220,name,Rua Severino Maia da Cruz,regular
356881221,highway,residential,regular
356881221,name,Rua Estudante Josélio Farias de Aguiar,regular
356881221,source,Yahoo hires,regular
356881222,highway,footway,regular
356881222,source,Yahoo hires,regular
356881223,highway,residential,regular
356881224,highway,residential,regular
356881225,highway,service,regular
356881225,service,alley,regular
356881226,highway,residential,regular
356881227,highway,motorway_link,regular
356881227,lanes,1,regular
356881227,oneway,yes,regular
356881228,highway,residential,regular
356881229,highway,residential,regular
356881229,name,Rua Hilda Travassos da Silva,regular
356881230,highway,service,regular
356881230,name,Rua Abel de Lima Araújo,regular
356881230,service,alley,regular
356881231,highway,residential,regular
356881232,highway,residential,regular
356881232,name,Rua Lourival Antônio dos Santos,regular
356881233,highway,residential,regular
356881234,highway,service,regular
356881234,service,alley,regular
356881235,highway,residential,regular
356881236,highway,residential,regular
356881236,name,Rua Murilo Bruno Soares de Sousa,regular
356881237,highway,service,regular
356881237,service,alley,regular
356881238,highway,residential,regular
356881238,name,Rua Estudante Josélio Farias de Aguiar,regular
356881238,source,Yahoo hires,regular
356882664,highway,residential,regular
356882664,name,Rua Maria da Penha das Chagas,regular
356882664,source,Yahoo hires,regular
356882665,building,yes,regular
356882666,access,private,regular
356882666,highway,service,regular
356882666,service,alley,regular
356882667,highway,service,regular
356882667,service,alley,regular
356882668,barrier,wall,regular
356882668,leisure,sports_centre,regular
356882669,leisure,pitch,regular
356882669,sport,soccer,regular
356882670,leisure,pitch,regular
356882670,sport,soccer,regular
356882671,leisure,swimming_pool,regular
356882671,sport,swimming,regular
356882672,leisure,yes,regular
356882673,leisure,swimming_pool,regular
356882673,sport,swimming,regular
356882674,access,private,regular
356882674,amenity,parking,regular
356896364,leisure,stadium,regular
356896364,name,Estádio Joaquim de Almeida Sobrinho,regular
356896364,sport,soccer,regular
356896365,landuse,retail,regular
356896365,name,Makro,regular
356896365,shop,supermarket,regular
356896366,amenity,love_hotel,regular
356896366,name,Roda Viva,regular
356896367,highway,residential,regular
356896367,name,Rua Carlos Ribeiro Prado,regular
356896367,source,Yahoo hires,regular
356896368,highway,residential,regular
356896368,name,Rua Carlos da Costa Gomes,regular
356896368,source,Yahoo hires,regular
356896369,building,apartments,regular
356896370,building,retail,regular
356896371,highway,service,regular
356896371,service,parking_aisle,regular
356896372,highway,service,regular
356896372,service,alley,regular
356896373,highway,residential,regular
356896374,highway,service,regular
356896374,service,alley,regular
356896375,highway,service,regular
356896375,service,alley,regular
356896376,highway,service,regular
356896376,service,alley,regular
356896377,highway,service,regular
356896377,service,alley,regular
356896378,highway,service,regular
356896378,service,parking_aisle,regular
356896379,highway,service,regular
356896379,service,alley,regular
356896380,highway,service,regular
356896380,service,alley,regular
356896381,highway,residential,regular
356896382,highway,residential,regular
356896384,highway,service,regular
356896384,service,alley,regular
356896386,highway,service,regular
356896386,service,parking_aisle,regular
356896388,highway,service,regular
356896388,service,parking_aisle,regular
356896390,highway,service,regular
356896390,service,parking_aisle,regular
356896393,highway,service,regular
356896393,service,parking_aisle,regular
356896395,highway,service,regular
356896395,service,alley,regular
356896397,highway,service,regular
356896397,service,parking_aisle,regular
356896400,highway,service,regular
356896400,service,alley,regular
356896403,highway,service,regular
356896403,service,alley,regular
356896406,highway,service,regular
356896406,service,alley,regular
356896408,highway,service,regular
356896408,service,alley,regular
356896411,highway,residential,regular
356896413,highway,service,regular
356896413,oneway,yes,regular
356896413,service,parking_aisle,regular
356896417,highway,residential,regular
356896417,source,Yahoo hires,regular
356896420,highway,service,regular
356896420,service,alley,regular
356896422,highway,service,regular
356896422,service,parking_aisle,regular
356896423,highway,service,regular
356896423,oneway,yes,regular
356896423,service,parking_aisle,regular
356896424,highway,service,regular
356896424,service,parking_aisle,regular
356896425,leisure,pitch,regular
356896425,sport,soccer,regular
356896604,building,retail,regular
356897969,highway,service,regular
356897969,service,alley,regular
356900575,access,private,regular
356900575,highway,service,regular
356900575,service,parking_aisle,regular
356900577,access,private,regular
356900577,highway,footway,regular
356900579,access,private,regular
356900579,highway,service,regular
356900579,service,parking_aisle,regular
356900582,access,private,regular
356900582,highway,footway,regular
356900584,barrier,wall,regular
356952524,highway,service,regular
356952524,name,Rua Elias Ferreira de Lima,regular
356952524,service,alley,regular
356952525,highway,residential,regular
356952525,name,Rua José Mendonça de Araújo,regular
356952526,highway,service,regular
356952526,name,Vila Gonzagão,regular
356952526,service,alley,regular
356952527,highway,service,regular
356952527,name,Vila Santa Clara,regular
356952527,service,alley,regular
356952528,highway,service,regular
356952528,name,Vila Santa Clara,regular
356952528,service,alley,regular
356952529,highway,residential,regular
356952530,highway,residential,regular
356952531,highway,service,regular
356952531,service,alley,regular
356952532,highway,service,regular
356952532,service,alley,regular
356952533,highway,residential,regular
356952534,highway,residential,regular
356952535,highway,service,regular
356952535,service,alley,regular
356952536,highway,residential,regular
357013085,highway,tertiary,regular
357013085,name,Rua Francisco Rocha Ferreira,regular
357013085,source,Yahoo,regular
357013086,highway,residential,regular
357013086,name,Rua Iracema Santiago Ferreira,regular
357013086,source,Yahoo hires,regular
357013087,highway,residential,regular
357013087,name,Rua Laura Tavares Formiga,regular
357013087,source,Yahoo hires,regular
357013088,highway,residential,regular
357013088,name,Rua das Ameixas,regular
357013088,source,Yahoo,regular
357013089,highway,unclassified,regular
357013089,surface,unpaved,regular
357013090,highway,residential,regular
357013091,highway,service,regular
357013091,service,alley,regular
357013092,highway,unclassified,regular
357013092,surface,unpaved,regular
357013093,highway,service,regular
357013093,service,alley,regular
357013094,highway,residential,regular
357013095,highway,unclassified,regular
357013095,surface,unpaved,regular
357013096,highway,unclassified,regular
357013096,surface,unpaved,regular
357013097,highway,residential,regular
357013098,highway,residential,regular
357013099,highway,residential,regular
357013100,highway,unclassified,regular
357013100,surface,unpaved,regular
357013101,highway,residential,regular
357013102,highway,unclassified,regular
357013102,surface,unpaved,regular
357013103,highway,unclassified,regular
357013103,surface,unpaved,regular
357013104,highway,residential,regular
357013105,highway,unclassified,regular
357013105,surface,unpaved,regular
357013106,highway,unclassified,regular
357013106,surface,unpaved,regular
357204472,barrier,wall,regular
357204473,barrier,wall,regular
357204474,barrier,fence,regular
357204475,barrier,fence,regular
357204476,barrier,wall,regular
357213681,highway,residential,regular
357213681,lit,yes,regular
357213681,name,Rua Carmem Moreira Coutinho,regular
357213684,highway,residential,regular
357213684,lit,yes,regular
357213684,maxspeed,30,regular
357213684,name,Rua Francisca Dantas de Souza,regular
357213684,oneway,no,regular
357213684,surface,paved,regular
357213688,highway,residential,regular
357213688,lit,yes,regular
357213688,name,Rua Joaquim Pereira da Silva,regular
357213691,highway,residential,regular
357213691,name,Rua Rejane Freire Correia,regular
357213693,highway,primary,regular
357213693,lit,yes,regular
357213693,name,Rua Walfredo Macedo Brandão,regular
357213693,oneway,yes,regular
357213696,highway,primary,regular
357213696,lit,yes,regular
357213696,name,Rua Walfredo Macedo Brandão,regular
357213696,oneway,yes,regular
357213698,building,apartments,regular
357213700,building,apartments,regular
357213703,building,apartments,regular
357213705,building,apartments,regular
357213707,building,apartments,regular
357213711,building,apartments,regular
357213713,building,apartments,regular
357213716,highway,service,regular
357213716,service,alley,regular
357213718,highway,service,regular
357213718,service,alley,regular
357213720,highway,service,regular
357213720,service,alley,regular
357213723,highway,track,regular
357213723,surface,unpaved,regular
357213726,highway,unclassified,regular
357213726,surface,unpaved,regular
357213729,highway,unclassified,regular
357213729,surface,unpaved,regular
357213732,barrier,wall,regular
357213735,barrier,wall,regular
357213739,barrier,wall,regular
357213741,barrier,wall,regular
357213743,barrier,wall,regular
357213745,barrier,wall,regular
357213747,barrier,wall,regular
357213750,barrier,wall,regular
357213752,barrier,wall,regular
357213754,barrier,wall,regular
357213758,barrier,wall,regular
357213760,barrier,wall,regular
357213761,barrier,wall,regular
357213762,barrier,wall,regular
357213763,barrier,wall,regular
357213766,barrier,wall,regular
357213767,barrier,wall,regular
357213768,barrier,wall,regular
357213770,barrier,wall,regular
357213771,barrier,wall,regular
357213773,barrier,wall,regular
357213774,barrier,wall,regular
357213775,barrier,wall,regular
357213776,barrier,wall,regular
357213778,barrier,wall,regular
357213780,barrier,wall,regular
357213782,barrier,wall,regular
357213783,barrier,wall,regular
357213784,barrier,wall,regular
357213785,barrier,wall,regular
357213786,barrier,wall,regular
357213787,barrier,wall,regular
357213788,barrier,wall,regular
357213790,barrier,wall,regular
357213792,barrier,wall,regular
357213793,barrier,wall,regular
357213794,barrier,wall,regular
357213795,barrier,wall,regular
357213797,barrier,wall,regular
357213798,barrier,wall,regular
357213799,barrier,wall,regular
357213804,barrier,fence,regular
357213805,barrier,wall,regular
357213806,barrier,wall,regular
357215409,barrier,wall,regular
357215410,barrier,wall,regular
357215411,barrier,wall,regular
357215412,barrier,wall,regular
357215413,barrier,wall,regular
357215414,barrier,wall,regular
357215415,barrier,wall,regular
357215416,barrier,wall,regular
357215417,barrier,wall,regular
357215418,barrier,wall,regular
357215419,barrier,wall,regular
357215420,barrier,wall,regular
357215421,barrier,wall,regular
357215422,barrier,wall,regular
357215423,barrier,wall,regular
357215424,barrier,wall,regular
357215425,barrier,wall,regular
357215427,barrier,wall,regular
357215428,barrier,wall,regular
357215429,barrier,wall,regular
357215430,barrier,wall,regular
357215431,barrier,wall,regular
357215432,barrier,wall,regular
357215433,barrier,wall,regular
357215434,barrier,wall,regular
357215436,barrier,wall,regular
357215437,barrier,wall,regular
357215438,barrier,wall,regular
357215440,barrier,wall,regular
357215441,barrier,wall,regular
357215442,barrier,wall,regular
357215443,barrier,wall,regular
357215444,barrier,wall,regular
357215445,barrier,wall,regular
357215446,barrier,wall,regular
358403223,highway,residential,regular
358403223,lit,yes,regular
358403337,highway,residential,regular
358403337,lit,yes,regular
358403477,highway,residential,regular
358403477,lit,yes,regular
359675565,street,Avenida Prefeito Osvaldo Pessoa,addr
359675565,suburb,Jaguaribe,addr
359675565,amenity,bank,regular
359675565,atm,yes,regular
359675565,building,yes,regular
359675565,name,Caixa Econômica Federal,regular
359675672,building,yes,regular
359675673,building,yes,regular
359675678,building,yes,regular
359675679,building,yes,regular
359675762,highway,service,regular
359675762,oneway,yes,regular
359675763,building,yes,regular
359675764,building,yes,regular
359675822,highway,service,regular
359675823,highway,service,regular
359675856,leisure,park,regular
359675856,name,Praça General João Neiva,regular
359675997,city,João Pessoa,addr
359675997,street,Rua Alberto de Brito,addr
359675997,suburb,Jaguaribe,addr
359675997,amenity,hospital,regular
359675997,name,Hospital Infantil Arlinda Marques,regular
360431677,highway,tertiary,regular
360431677,name,Avenida Prefeito Osvaldo Pessoa,regular
360431677,oneway,yes,regular
360431678,highway,primary,regular
360431678,name,Avenida Vasco da Gama,regular
360431678,oneway,yes,regular
360431678,surface,asphalt,regular
360432568,highway,residential,regular
360432568,name,Rua Paulino de Albuquerque,regular
360432976,highway,residential,regular
360432976,name,Rua Paulino de Albuquerque,regular
360432977,highway,residential,regular
360432977,name,Rua Paulino de Albuquerque,regular
360432978,highway,residential,regular
360432978,name,Rua Doutor José Galvão de Melo,regular
360432979,highway,residential,regular
360432979,name,Rua Paulino de Albuquerque,regular
360433031,highway,residential,regular
360433031,name,Rua Álvaro Lemos,regular
360433279,highway,residential,regular
360433279,name,Avenida 12 de Outubro,regular
360433279,official_name,Avenida Doze de Outubro,regular
360433279,source,Yahoo,regular
360433280,highway,tertiary,regular
360433280,name,Avenida Generino Maciel,regular
360433280,source,Yahoo,regular
360433548,city,JOão Pessoa,addr
360433548,street,Avenida Feliciano Cirne,addr
360433548,suburb,Jaguaribe,addr
360433548,building,yes,regular
360433548,name,CAGEPA SEDE ESTADUAL,regular
360433548,office,company,regular
360433624,highway,tertiary,regular
360440872,city,João Pessoa,addr
360440872,street,Avenida Diógenes Chianca,addr
360440872,building,yes,regular
360440872,name,Sucata do Edinho,regular
360440872,shop,car_parts,regular
360441229,highway,service,regular
360441229,oneway,yes,regular
360441230,highway,service,regular
360441230,oneway,yes,regular
360441231,highway,service,regular
360441231,oneway,yes,regular
360441232,highway,service,regular
360441232,oneway,yes,regular
360441233,highway,service,regular
360441233,oneway,yes,regular
360441234,highway,service,regular
360441234,oneway,no,regular
360441235,highway,service,regular
360441235,oneway,yes,regular
360441236,highway,service,regular
360441237,highway,service,regular
360441238,highway,service,regular
360441239,highway,service,regular
360441240,highway,service,regular
360441241,highway,service,regular
360441242,highway,service,regular
360441243,highway,service,regular
360441244,highway,service,regular
360441245,amenity,parking,regular
360441245,name,Centro de Convenções de João Pessoa - Estacionamento Norte,regular
360441425,highway,service,regular
360441425,oneway,yes,regular
360441426,highway,service,regular
360441426,oneway,yes,regular
360441427,highway,service,regular
360441427,oneway,yes,regular
360441428,highway,service,regular
360441428,oneway,yes,regular
360441429,highway,service,regular
360441429,oneway,yes,regular
360441430,highway,service,regular
360441430,oneway,yes,regular
360441431,highway,service,regular
360441432,highway,service,regular
360441433,highway,service,regular
360441433,oneway,yes,regular
360441434,highway,service,regular
360441435,highway,service,regular
360441436,highway,service,regular
360441437,highway,service,regular
360441438,highway,service,regular
360441440,amenity,parking,regular
360441440,name,Centro de Convenções de João Pessoa - Estacionamento Sul,regular
360441453,highway,service,regular
360441453,oneway,yes,regular
360441454,highway,service,regular
360441454,oneway,no,regular
360441455,highway,service,regular
360441455,oneway,yes,regular
360441456,highway,service,regular
360441456,oneway,yes,regular
360441457,highway,service,regular
360441458,highway,service,regular
360441459,highway,service,regular
360441460,highway,service,regular
360441461,highway,service,regular
360441530,amenity,parking,regular
360441530,name,Centro de Convenções de João Pessoa - Estacionamento Sul 2,regular
360441579,name,Centro de Convenções de João Pessoa Poeta Ronaldo Cunha Lima,regular
360441579,tourism,attraction,regular
360785650,barrier,wall,regular
360785651,barrier,wall,regular
360785652,barrier,wall,regular
360785653,barrier,wall,regular
360785654,access,private,regular
360785654,highway,residential,regular
360785654,oneway,yes,regular
360785654,surface,asphalt,regular
360785655,access,private,regular
360785655,highway,residential,regular
360785655,oneway,yes,regular
360785655,surface,asphalt,regular
360785656,access,private,regular
360785656,highway,residential,regular
360785656,oneway,yes,regular
360785656,surface,asphalt,regular
360785657,access,private,regular
360785657,highway,residential,regular
360785657,oneway,yes,regular
360785657,surface,asphalt,regular
360785658,access,private,regular
360785658,highway,residential,regular
360785658,oneway,yes,regular
360785658,surface,asphalt,regular
360785659,access,private,regular
360785659,highway,residential,regular
360785659,oneway,yes,regular
360785659,surface,asphalt,regular
360785660,access,private,regular
360785660,highway,residential,regular
360785660,oneway,yes,regular
360785660,surface,asphalt,regular
360785661,access,private,regular
360785661,highway,residential,regular
360785661,oneway,yes,regular
360785661,surface,asphalt,regular
360785662,access,private,regular
360785662,highway,residential,regular
360785662,surface,asphalt,regular
360785663,access,private,regular
360785663,highway,residential,regular
360785663,surface,asphalt,regular
360785664,access,private,regular
360785664,highway,residential,regular
360785664,surface,asphalt,regular
360785665,access,private,regular
360785665,highway,residential,regular
360785665,oneway,yes,regular
360785665,surface,asphalt,regular
360785666,access,private,regular
360785666,highway,residential,regular
360785666,surface,asphalt,regular
360785667,access,private,regular
360785667,highway,residential,regular
360785667,surface,asphalt,regular
360873626,bridge,yes,regular
360873626,highway,secondary,regular
360873626,layer,1,regular
360873626,name,Viaduto Deputado Geraldo Mariz,regular
360873626,oneway,yes,regular
360907954,highway,service,regular
360907954,oneway,yes,regular
360908710,highway,residential,regular
360928905,highway,residential,regular
360928905,name,Rua Funcionário Odon Almeida,regular
360928905,source,Yahoo hires,regular
360928906,highway,residential,regular
360928906,name,Rua Funcionário Odon Almeida,regular
360928906,oneway,yes,regular
360937547,barrier,wall,regular
360937552,barrier,wall,regular
360937553,barrier,wall,regular
360937554,barrier,wall,regular
360937558,barrier,wall,regular
360937560,barrier,wall,regular
360937562,highway,service,regular
360937562,name,Rua Estudante Cícero Clementino de Oliveira Filho,regular
360937562,service,alley,regular
360937562,source,Yahoo hires,regular
360937563,building,yes,regular
360937564,highway,service,regular
360937564,service,parking_aisle,regular
360937567,highway,residential,regular
360937568,highway,residential,regular
360937569,highway,service,regular
360937569,service,alley,regular
360937572,highway,residential,regular
360937574,highway,service,regular
360937574,oneway,yes,regular
360937576,highway,service,regular
360937576,service,alley,regular
360937578,highway,service,regular
360937578,service,parking_aisle,regular
360937580,highway,service,regular
360937580,service,alley,regular
360937581,highway,service,regular
360937581,service,parking_aisle,regular
360937584,highway,service,regular
360937584,service,alley,regular
361451086,highway,service,regular
361451087,highway,service,regular
361451087,oneway,yes,regular
361451088,highway,service,regular
361451088,oneway,yes,regular
361451089,highway,service,regular
361451089,oneway,yes,regular
361451090,highway,service,regular
